L_set_count,threshold_value,B_vector,percent_positive,percent_negative
7,0.8,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",28.57,71.43
6,1.4,"[-1.225187040525495,1.6426853721612624,1.4907224928254759,-1.23204226003776,0.0511100481538862]",16.67,83.33
6,1.3,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",50.00,50.00
6,1.4,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",16.67,83.33
6,0.7,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",33.33,66.67
6,1.4,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",33.33,66.67
6,0.6,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",16.67,83.33
6,1.5,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",66.67,33.33
6,1.1,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",83.33,16.67
6,1.4,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",50.00,50.00
6,0.9,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",50.00,50.00
6,1.2,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",16.67,83.33
6,1.4,"[-1.4904360802390277,-1.3709452248669742,-0.36150976084292763,-1.4930848056542256,-1.2866494171544756]",33.33,66.67
6,1.1,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",16.67,83.33
6,1.1,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",66.67,33.33
6,1.1,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
6,1.1,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",83.33,16.67
5,1.0,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",40.00,60.00
5,0.9,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",60.00,40.00
5,1.0,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",20.00,80.00
5,1.0,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",40.00,60.00
5,1.0,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",80.00,20.00
5,1.2,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
5,0.9,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",20.00,80.00
5,0.8,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",40.00,60.00
5,1.3,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",20.00,80.00
5,0.7,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",60.00,40.00
5,1.4,"[-1.605624548592885,0.9516536867244927,-1.4649084193170019,0.11724842376805089,-1.4412880620592077]",60.00,40.00
5,1.5,"[1.1273574385529663,1.523682265562445,-0.9567811305923302,1.853171584611315,0.2772372647172898]",80.00,20.00
5,1.3,"[-1.4904360802390277,-1.3709452248669742,-0.36150976084292763,-1.4930848056542256,-1.2866494171544756]",40.00,60.00
5,1.2,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",60.00,40.00
5,1.3,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",40.00,60.00
4,1.2,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",25.00,75.00
4,1.1,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",0.00,100.00
4,1.2,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",25.00,75.00
4,0.8,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",50.00,50.00
4,0.9,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",50.00,50.00
4,1.5,"[-1.49847264578132,0.2243158429224028,1.6390444835924316,-0.02815737249481609,1.9104864148217167]",50.00,50.00
4,0.7,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",50.00,50.00
4,1.4,"[-1.4559154171548334,-1.558242332923744,-0.9607966667081542,0.42762998470223446,-1.925764397485453]",50.00,50.00
4,1.1,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
4,1.1,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",50.00,50.00
4,0.6,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",75.00,25.00
4,1.0,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",50.00,50.00
4,0.5,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",25.00,75.00
4,1.3,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",25.00,75.00
4,1.4,"[0.5446533979827306,1.4290113244082665,1.1972235783033498,1.109389862482426,-1.8121869528210328]",50.00,50.00
3,0.5,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",0.00,100.00
3,1.3,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",33.33,66.67
3,1.4,"[1.1273574385529663,1.523682265562445,-0.9567811305923302,1.853171584611315,0.2772372647172898]",100.00,0.00
3,0.6,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",33.33,66.67
3,1.5,"[1.6135648354435501,-0.7292285284396502,1.5392677473400087,0.33918403738699876,-1.6494871606375314]",66.67,33.33
3,1.0,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
3,0.9,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",66.67,33.33
3,1.2,"[-1.4904360802390277,-1.3709452248669742,-0.36150976084292763,-1.4930848056542256,-1.2866494171544756]",33.33,66.67
3,1.1,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",33.33,66.67
3,1.1,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",66.67,33.33
3,1.0,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
3,1.3,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
3,0.8,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",66.67,33.33
3,0.8,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
3,0.8,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",33.33,66.67
3,1.3,"[-1.225187040525495,1.6426853721612624,1.4907224928254759,-1.23204226003776,0.0511100481538862]",0.00,100.00
3,1.1,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",0.00,100.00
3,0.9,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",33.33,66.67
3,0.9,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",0.00,100.00
3,1.0,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",0.00,100.00
3,1.2,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",33.33,66.67
3,1.0,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",33.33,66.67
3,0.9,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",33.33,66.67
3,0.9,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
3,1.2,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",33.33,66.67
3,1.0,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",33.33,66.67
3,1.2,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",66.67,33.33
3,1.4,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
2,0.5,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",50.00,50.00
2,0.5,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",100.00,0.00
2,1.2,"[1.1273574385529663,1.523682265562445,-0.9567811305923302,1.853171584611315,0.2772372647172898]",100.00,0.00
2,1.2,"[-1.4559154171548334,-1.558242332923744,-0.9607966667081542,0.42762998470223446,-1.925764397485453]",50.00,50.00
2,0.9,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",0.00,100.00
2,1.4,"[-1.5676334627603397,1.4973009507163235,-0.9405248244017725,-0.7732438897894398,-1.8291152179941088]",0.00,100.00
2,1.1,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",0.00,100.00
2,0.6,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",50.00,50.00
2,1.0,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",50.00,50.00
2,1.4,"[1.6135648354435501,-0.7292285284396502,1.5392677473400087,0.33918403738699876,-1.6494871606375314]",50.00,50.00
2,1.1,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",50.00,50.00
2,1.0,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",0.00,100.00
2,1.0,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",50.00,50.00
2,0.9,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",0.00,100.00
2,0.9,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",50.00,50.00
2,0.9,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",50.00,50.00
2,1.2,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",50.00,50.00
2,1.2,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",0.00,100.00
2,1.0,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",50.00,50.00
2,1.2,"[-1.225187040525495,1.6426853721612624,1.4907224928254759,-1.23204226003776,0.0511100481538862]",0.00,100.00
2,0.8,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",50.00,50.00
2,0.9,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",50.00,50.00
2,1.3,"[-1.4559154171548334,-1.558242332923744,-0.9607966667081542,0.42762998470223446,-1.925764397485453]",50.00,50.00
2,1.2,"[0.5446533979827306,1.4290113244082665,1.1972235783033498,1.109389862482426,-1.8121869528210328]",50.00,50.00
2,1.3,"[1.1273574385529663,1.523682265562445,-0.9567811305923302,1.853171584611315,0.2772372647172898]",100.00,0.00
2,1.2,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
2,0.8,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",0.00,100.00
2,1.3,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",0.00,100.00
2,1.3,"[0.5446533979827306,1.4290113244082665,1.1972235783033498,1.109389862482426,-1.8121869528210328]",50.00,50.00
2,1.5,"[1.6171096867755983,1.1693003714815053,1.4450121021414066,1.8159458186427386,0.9489105328330356]",0.00,100.00
2,1.5,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",50.00,50.00
2,0.8,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",0.00,100.00
2,0.8,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",0.00,100.00
2,0.9,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
2,0.8,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",50.00,50.00
2,0.7,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",0.00,100.00
2,0.7,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",50.00,50.00
2,0.8,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
2,0.7,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
2,1.5,"[-1.5676334627603397,1.4973009507163235,-0.9405248244017725,-0.7732438897894398,-1.8291152179941088]",0.00,100.00
2,0.7,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",50.00,50.00
2,0.7,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",50.00,50.00
2,0.8,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",0.00,100.00
2,0.5,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",50.00,50.00
2,0.5,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.00,50.00
1,0.5,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",0.00,100.00
1,0.6,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
1,0.6,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",100.00,0.00
1,0.6,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",0.00,100.00
1,0.6,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",0.00,100.00
1,0.6,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",0.00,100.00
1,0.6,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",0.00,100.00
1,0.6,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",0.00,100.00
1,0.6,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",100.00,0.00
1,1.4,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,1.3,"[-1.605624548592885,0.9516536867244927,-1.4649084193170019,0.11724842376805089,-1.4412880620592077]",0.00,100.00
1,1.3,"[-1.5676334627603397,1.4973009507163235,-0.9405248244017725,-0.7732438897894398,-1.8291152179941088]",0.00,100.00
1,1.3,"[-1.49847264578132,0.2243158429224028,1.6390444835924316,-0.02815737249481609,1.9104864148217167]",0.00,100.00
1,1.3,"[1.6135648354435501,-0.7292285284396502,1.5392677473400087,0.33918403738699876,-1.6494871606375314]",0.00,100.00
1,1.2,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",100.00,0.00
1,1.3,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,1.2,"[-1.49847264578132,0.2243158429224028,1.6390444835924316,-0.02815737249481609,1.9104864148217167]",0.00,100.00
1,1.2,"[1.6135648354435501,-0.7292285284396502,1.5392677473400087,0.33918403738699876,-1.6494871606375314]",0.00,100.00
1,1.2,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,1.2,"[-1.605624548592885,0.9516536867244927,-1.4649084193170019,0.11724842376805089,-1.4412880620592077]",0.00,100.00
1,1.4,"[-1.49847264578132,0.2243158429224028,1.6390444835924316,-0.02815737249481609,1.9104864148217167]",0.00,100.00
1,1.1,"[0.5446533979827306,1.4290113244082665,1.1972235783033498,1.109389862482426,-1.8121869528210328]",100.00,0.00
1,1.1,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",100.00,0.00
1,1.1,"[-1.49847264578132,0.2243158429224028,1.6390444835924316,-0.02815737249481609,1.9104864148217167]",0.00,100.00
1,1.1,"[1.6135648354435501,-0.7292285284396502,1.5392677473400087,0.33918403738699876,-1.6494871606375314]",0.00,100.00
1,1.1,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
1,1.1,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",0.00,100.00
1,1.1,"[0.5525686078425678,-0.956868450419528,1.5123064016799792,1.665745864715193,0.821889943036501]",100.00,0.00
1,1.1,"[-1.4559154171548334,-1.558242332923744,-0.9607966667081542,0.42762998470223446,-1.925764397485453]",100.00,0.00
1,1.1,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,1.1,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",0.00,100.00
1,1.0,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",0.00,100.00
1,1.0,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",100.00,0.00
1,1.0,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",100.00,0.00
1,1.0,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",100.00,0.00
1,1.0,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,1.0,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",0.00,100.00
1,1.0,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
1,0.9,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",100.00,0.00
1,0.9,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",100.00,0.00
1,1.0,"[-1.0102892861115005,1.8334630848781357,0.8586831693146397,1.2431899172551155,-1.449313434074988]",0.00,100.00
1,0.9,"[-1.3766145211071539,1.7253888744813128,0.4775517650969663,-1.1939259576879748,-1.406646825860323]",0.00,100.00
1,0.9,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",100.00,0.00
1,0.9,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
1,0.9,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",0.00,100.00
1,0.8,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",100.00,0.00
1,0.8,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",0.00,100.00
1,0.8,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",0.00,100.00
1,0.9,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,1.5,"[1.8508560007034447,-1.6113162871285467,-0.9086354910922241,0.3150226715490918,1.9754875677179857]",0.00,100.00
1,0.8,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,0.8,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",100.00,0.00
1,0.8,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",0.00,100.00
1,0.8,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",0.00,100.00
1,0.8,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
1,0.8,"[-1.5657704592226107,-0.8618913530847818,0.7401874393380834,1.0559766579474616,1.6860161602846055]",0.00,100.00
1,0.7,"[-1.626756762503358,-0.3425024949262858,-1.5276285917193708,1.7746760076388806,-1.0094251796816764]",100.00,0.00
1,0.7,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",100.00,0.00
1,0.7,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",0.00,100.00
1,0.7,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",0.00,100.00
1,0.7,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",0.00,100.00
1,0.6,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",0.00,100.00
1,0.6,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",0.00,100.00
1,0.6,"[-1.7110179229735838,0.5739662154125051,1.2651133618572232,-1.3179141565505024,-0.9752787624834349]",0.00,100.00
1,0.7,"[1.3836347272495964,-1.2551161086876301,-1.3737018231414555,1.137499181451838,-0.4828530950724983]",0.00,100.00
1,0.7,"[1.641180181804081,-0.8398299055892617,1.4872519151668455,-1.734948312541634,1.3655742325108742]",100.00,0.00
1,0.7,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",0.00,100.00
1,0.7,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",0.00,100.00
1,1.5,"[-1.9783593641120767,1.5441125663871933,1.1068281940183637,-1.6744718503079645,1.521614031669002]",0.00,100.00
1,0.5,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",100.00,0.00
1,0.5,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",0.00,100.00
